station_id,station_name,city,country
31904.0,East Falls Church Metro / Sycamore St & 19th St N,Victoria,CAN
32025.0,Carroll & Westmoreland Ave,Victoria,CAN
31276.0,15th & L St NW,Victoria,CAN
32255.0,Hartland Rd & Harte Pl,Victoria,CAN
32235.0,Merrifield Cinema & Merrifield Town Center,Victoria,CAN
31248.0,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Banff,CAN
31128.0,23rd & M St NW,Banff,CAN
31284.0,18th & C St NW,Banff,CAN
31285.0,22nd & P ST NW,Banff,CAN
31042.0,Market Square / King St & Royal St,Banff,CAN
31107.0,Lamont & Mt Pleasant NW,Richmond,CAN
31115.0,Columbia Rd & Georgia Ave NW,Richmond,CAN
31955.0,King St & Peyton St,Richmond,CAN
31260.0,23rd & E St NW ,Richmond,CAN
31646.0,Maine Ave & 9th St SW,Richmond,CAN
31958.0,S Washington St & Wilkes St,Greenville,US
31082.0,Eisenhower Ave & Mill Race Ln,Greenville,US
31522.0,2nd St & Seaton Pl NE,Greenville,US
31519.0,1st & O St NW,Greenville,US
31130.0,7th & S St NW,Greenville,US
31315.0,Connecticut Ave & McKinley St NW,Greenville,US
31658.0,Rosedale Rec Center,Greenville,US
31325.0,Reservoir Rd & 38th St NW,Greenville,US
31226.0,34th St & Wisconsin Ave NW,Greenville,US
31647.0,7th St & Massachusetts Ave NE,Greenville,US
32011.0,Maple & Ritchie Ave,Greenville,US
31609.0,Maine Ave & 7th St SW,Greenville,US
31270.0,8th & D St NW,Greenville,US
31400.0,Georgia & New Hampshire Ave NW,Greenville,US
31939.0,Wilson Blvd & N Oak St,Greenville,US
31110.0,20th St & Florida Ave NW,Edmonton,CAN
,,Edmonton,CAN
31604.0,3rd & H St NW,Edmonton,CAN
31969.0,Braddock Rd Metro South,Edmonton,CAN
31945.0,Columbia Pike & S Greenbrier St,Edmonton,CAN
31664.0,Half & Water St SW,Dothan,US
31236.0,37th & O St NW / Georgetown University,Dothan,US
31623.0,Columbus Circle / Union Station,Dothan,US
31238.0,14th & G St NW,Dothan,US
31314.0,34th & Water St NW,Dothan,US
31633.0,Independence Ave & L'Enfant Plaza SW/DOE,Calexico,US
31906.0,Commonwealth Ave & Oak St,Calexico,US
31222.0,New York Ave & 15th St NW,Calexico,US
32012.0,Silver Spring Metro / Colesville Rd & Wayne Ave,Calexico,US
31645.0,6th & K St NE,Calexico,US
32001.0,Fenton St & New York Ave ,Calexico,US
31232.0,7th & F St NW / National Portrait Gallery,Calexico,US
31651.0,11th & Park Rd NW,Calexico,US
31615.0,6th & H St NE,Calexico,US
31018.0,Rhodes St & 16th St N,Calexico,US
31200.0,Massachusetts Ave & Dupont Circle NW,Clanton,US
31228.0,8th & H St NW,Clanton,US
31135.0,16th & Harvard St NW,Clanton,US
31129.0,15th St & Pennsylvania Ave NW,Clanton,US
31259.0,20th St & Virginia Ave NW,Clanton,US
31313.0,Connecticut Ave & Tilden St NW,Dothan,US
31023.0,Fairfax Dr & Wilson Blvd,Dothan,US
31131.0,14th & Otis Pl NW,Dothan,US
31332.0,11th & V St NW,Dothan,US
31242.0,18th St & Pennsylvania Ave NW,Dothan,US
31960.0,Commonwealth and Reed,Victoria,CAN
31807.0,Pleasant St & MLK Ave SE,Victoria,CAN
31616.0,3rd & H St NE,Victoria,CAN
31239.0,Rhode Island & Connecticut Ave NW,Victoria,CAN
31289.0,Henry Bacon Dr & Lincoln Memorial Circle NW,Victoria,CAN
31005.0,Pentagon City Metro / 12th St & S Hayes St,Banff,CAN
31602.0,Park Rd & Holmead Pl NW,Banff,CAN
32006.0,13th St & Eastern Ave,Banff,CAN
31255.0,24th & N St NW,Banff,CAN
31321.0,15th St & Constitution Ave NW,Banff,CAN
31253.0,19th & K St NW,Banff,CAN
31636.0,New Jersey Ave & N St NW/Dunbar HS,Banff,CAN
31278.0,18th & R St NW,Banff,CAN
31093.0,21st St & N Pierce St,Banff,CAN
31406.0,14th & Upshur St NW,Banff,CAN
31655.0,New Jersey Ave & F St NW,Richmond,CAN
31323.0,Woodley Park Metro / Calvert St & Connecticut Ave NW,Richmond,CAN
31201.0,15th & P St NW,Richmond,CAN
31215.0,Georgetown Harbor / 30th St NW,Richmond,CAN
31535.0,10th St & Rhode Island Ave NE,Richmond,CAN
31661.0,8th & H St NE,Calexico,US
31220.0,US Dept of State / Virginia Ave & 21st St NW,Calexico,US
31265.0,5th St & Massachusetts Ave NW,Calexico,US
31134.0,8th & V St NW,Calexico,US
31618.0,4th & East Capitol St NE,Calexico,US
31124.0,14th & Irving St NW,Greenville,US
31903.0,Royal St & Wilkes St,Greenville,US
